Funder Name,Funder State,Grantee Name,Grantee City,Grantee State,Year(s),Grant Amount,Types(s) of Support,Description
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$500,000",Building/renovation,For renovation and construction of Baxter Education Center
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$500,000",Continuing support,
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$236,618",Program development,For Alliance Charter Network Program
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$100,000",,
Annenberg Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2008,"$25,000",Continuing support,
Annenberg Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2007,"$25,000",,
Annenberg Foundation,California; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$25,000",Building/renovation; Continuing support,For Anne and Kirk Douglas Playground Award Fund
Annenberg Foundation,California; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2004,"$25,000",Building/renovation,For Anne and Kirk Douglas Playground Award Fund
Annenberg Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2003,"$25,000",Building/renovation,For Anne and Kirk Douglas Playground Award Fund
Arata Brothers Trust,California; United States,Alliance for Education Solutions,Sacramento,California; United States,2010,"$36,000",,
AT&T Foundation,Texas; United States,Community Partners,Los Angeles,California; United States,2008,"$100,000",General/operating support; Program development,"For capacity-building of Consejo de Federaciones Mexicanas en Norte America project, providing organization and implementation of immigrant education mobilization program"
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2010,"$25,000",Continuing support; General/operating support,For general support
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2009,"$25,000",Continuing support; General/operating support,For general support for Santa Clara County Partnership for School Readiness
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2008,"$25,000",Program evaluation,For ongoing support and toward School Readiness Assessment in Santa Clara County
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2007,"$25,000",Program development,For evaluation and planning to better understand what services are needed to best prepare Santa Clara County children for school
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2006,"$25,000",Continuing support; Publication; Research,For assessment and publication of data relating to school readiness of children in Santa Clara County
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2005,"$25,000",Continuing support; Publication; Research,For assessment and publication of data relating to school readiness of children in Santa Clara County
Bella Vista Foundation,California; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2004,"$25,000",Publication; Research,For assessment and publication of data relating to school readiness of children in Santa Clara County
Bill & Melinda Gates Foundation,Washington; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$7,090,167",Program development,"To support cohort of Intensive Partnership Sites to improve teacher effectiveness to transform outcomes for low-income, minority students"
Bill & Melinda Gates Foundation,Washington; United States,Stanford University,Stanford,California; United States,2010,"$1,433,143",Program development; Research,"For project to bring together a diverse group of postsecondary researchers, policymakers, and practitioners to examine the public policies that shape incentives for postsecondary institutions"
Bill & Melinda Gates Foundation,Washington; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$700,250",Program development,For parent empowerment and the Teacher Effectiveness Effort
Bill & Melinda Gates Foundation,Washington; United States,Community Initiatives,San Francisco,California; United States,2007,"$493,750",Program development,To frame agenda for All Kids College Ready: What Will it Take to Ensure that Our Public Education System Prepares All Children in California through strengthening collaborations across constituency groups and advancing foundational improvements to state's education system
Bill & Melinda Gates Foundation,Washington; United States,Silicon Valley Community Foundation,Mountain View,California; United States,2011,"$250,000",Conferences/seminars,"To bring together coalition of thought leaders, policy-makers, consultants and practitioners as part of Global Education Leaders' Program (GELP) and support them through a series of convenings. GELP is a community of system leaders, policy-makers and thought-leaders collaborating to transform education at local, national and international levels, to equip every learner with the knowledge and skills to thrive in the 21st century"
Bill & Melinda Gates Foundation,Washington; United States,Education Trust-West,Oakland,California; United States,2006,"$94,500",Program development,"To develop regional American Diploma Projects in Sacramento, Silicon Valley, San Bernardino region"
Bill & Melinda Gates Foundation,Washington; United States,Institute for the Study of Knowledge Management in Education,Half Moon Bay,California; United States,2011,"$70,000",Conferences/seminars; Scholarship funds,For post-conference support for ISKME Big Ideas Fest including supporting incubation period for ideas that emerge from the convening event and supporting up to 10-12 full participant scholarships
Bill & Melinda Gates Foundation,Washington; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$50,000",Curriculum development; Research,To integrate standards-based online digital content for core academic subjects for 620 ninth and tenth grade students at two Alliance high schools
Bill & Melinda Gates Foundation,Washington; United States,Institute for the Study of Knowledge Management in Education,Half Moon Bay,California; United States,2010,"$30,000",Conferences/seminars,For annual Big Ideas Fest event
Binder Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2005,"$101,000",,
California Community Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$50,000",,
California Community Foundation,California; United States,Preschool California,Los Angeles,California; United States,2010,"$25,000",,
Carnegie Corporation of New York,New York; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2010,"$2,500,000",Program development; Research,Toward project to redesign developmental education by creating integrated pathway to and through statistics
Carnegie Corporation of New York,New York; United States,University of Southern California,Los Angeles,California; United States,2009,"$660,000",Faculty/staff development,"To develop facilitator training for Equity Scorecard, leadership development program for college faculty and staff"
Carnegie Corporation of New York,New York; United States,Stanford University,Stanford,California; United States,2009,"$244,900",Continuing support; Research,"For supplementary support for research examining relationship between measures of pre-service teacher preparation, individual teacher quality, teaching practices and student achievement gains. Foundation supplied information indicates subject focus of grant is higher education reform"
Carnegie Corporation of New York,New York; United States,Stanford University,Stanford,California; United States,2009,"$50,000",Research,For research project to improve and disseminate data collection for English-language learners
Carnegie Corporation of New York,New York; United States,Stanford University,Stanford,California; United States,2005,"$50,000",Research,For research on improving quality of liberal arts education
Carnegie Corporation of New York,New York; United States,University of California,Berkeley,California; United States,2004,"$50,000",Program development,Toward Commission on General Education in the 21st Century
Carnegie Corporation of New York,New York; United States,California State University,Long Beach,California; United States,2009,"$35,000",Conferences/seminars,For conference in improving college success for all students in the University system
Carnegie Corporation of New York,New York; United States,University of Southern California,Los Angeles,California; United States,2011,"$30,000",Program development; Research,For a project to identify policy solutions regarding non-tenure track faculty that better support student success in undergraduate education
Charter School Growth Fund,Colorado; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$350,000",,
Chartwell Charitable Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$100,000",,
Conrad N. Hilton Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$1,500,000",Capital campaigns,For the capital campaign toward construction costs incurred for the newly built high school in Watts
Conrad N. Hilton Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2009,"$40,000",Building/renovation; Equipment,"To support William and Carol Ouchi High School, to be used at discretion of Principal for any purpose to improve the school, including purchase of books and materials, equipment, travel, professional development, guest speakers, etc"
Conrad N. Hilton Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2010,"$25,000",Program development,For principal's discretionary use at William and Carol Ouchi High School
Douglas Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2005,"$420,190",,
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2009,"$1,650,000",Continuing support; Program development,For Alliance for College-Ready Public Schools as it executes expansion plans for opening new schools In Los Angeles
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2010,"$1,450,000",Program development,For the expansion of charter schools in Los Angeles
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2007,"$1,000,000",Continuing support; Seed money,For expansion plans for opening new schools in Los Angeles
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2008,"$775,000",Continuing support; Program development,To open new schools in Los Angeles
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$750,000",Seed money,To open new schools in Los Angeles
Eli & Edythe Broad Foundation,California; United States,Education Trust-West,Oakland,California; United States,2007,"$466,000",Research,"For teacher salary gap analysis in Texas, New York City and Ohio to highlight current inequalities"
Eli & Edythe Broad Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2004,"$150,000",Program development,Toward creation of new charter school in Los Angeles
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2005,"$100,000",General/operating support,For general support
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$90,000",Program development,For the expansion of high-quality charter schools in the Los Angeles Unified School District
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2007,"$75,000",Matching/challenge support; Seed money,To match SEIU funds to support Small Schools Alliance launch of Los Angeles Parents Union
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2007,"$75,000",Management development/capacity building; Matching/challenge support,To match SEIU funds to support Small Schools Alliance business plan of Los Angeles Parents Union
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2009,"$50,000",Program development,For efforts to help Charter Management Organizations apply for new LAUSD schools under LAUSD's School Choice Resolution
Eli & Edythe Broad Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2008,"$25,000",Management development/capacity building; Matching/challenge support,To match SEIU funds to support Small Schools Alliance business plan
Enterprise Holdings Foundation,Missouri; United States,California Business for Education Excellence,Sacramento,California; United States,2008,"$25,000",Continuing support; Program development,"For State Farm Just for the Kids, which tracks student performance at schools throughout the state and publishes the data on a public web site"
Enterprise Holdings Foundation,Missouri; United States,California Business for Education Excellence,Sacramento,California; United States,2007,"$25,000",Electronic media/online services; Program development,"For State Farm Just for the Kids, which tracks student performance at schools throughout the state and publishes the data on a public web site"
"Evelyn and Walter Haas, Jr. Fund",California; United States,Campaign for College Opportunity,Los Angeles,California; United States,2010,"$200,000",Program development,To advance policy solutions to improve student success at California community colleges
"Evelyn and Walter Haas, Jr. Fund",California; United States,California Partnership for Achieving Student Success,Encinitas,California; United States,2009,"$80,000",Curriculum development; Faculty/staff development,To create innovations in English and math instruction at high school and college levels to reduce student remediation rates in Alameda and San Francisco Counties
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2007,"$80,000",Continuing support; General/operating support; Program development,For general support to organize low-income immigrant youth and parents to advocate for quality education
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2006,"$80,000",Continuing support; General/operating support; Program development,For general support to organize low-income immigrant youth and parents to advocate for quality education
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2011,"$75,000",Advocacy; Continuing support,To organize and train community college students to advocate for policies that lead to better completion rates and more financial support for students
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2010,"$75,000",Continuing support; Program development,To organize and train community college students in the East Bay to advocate for policies to improve outcomes and financial support for students
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2009,"$75,000",Program development,To build capacity of student leaders in East Bay to advocate for policies to improve community college outcomes
"Evelyn and Walter Haas, Jr. Fund",California; United States,Californians for Justice Education Fund,Oakland,California; United States,2005,"$75,000",Program development,To organize low-income youth and adults to advocate for quality education
"Evelyn and Walter Haas, Jr. Fund",California; United States,California Tomorrow,Oakland,California; United States,2009,"$40,000",Continuing support; Program development,"To promote diversity, equity, and access in California after-school and community college systems"
"Evelyn and Walter Haas, Jr. Fund",California; United States,Equal Justice Society,San Francisco,California; United States,2005,"$40,000",Research,For research on impact of Proposition 209 on educational and economic opportunities for racial minorities
"Evelyn and Walter Haas, Jr. Fund",California; United States,Berkeley Organizing Congregations for Action,Berkeley,California; United States,2005,"$25,000",Continuing support; Program development,"To develop multiracial, multigenerational leadership to advocate for immigrant rights and equal education opportunities"
Ewing Marion Kauffman Foundation,Missouri; United States,University of California,Oakland,California; United States,2004,"$264,569",Continuing support; General/operating support,For operating support of Educational Entrepreneurship Institute programs
Ewing Marion Kauffman Foundation,Missouri; United States,University of California,Oakland,California; United States,2003,"$237,344",Program development; Program evaluation; Research,For Educational Entrepreneurship Institute to study and develop programs and materials that link educational entrepreneurship and education reform
Ewing Marion Kauffman Foundation,Missouri; United States,Higher Education Policy Institute,San Jose,California; United States,2005,"$25,000",Conferences/seminars; Publication,"For Johnson Foundation conference Moving Forward with K-16 Reform - What Steps Should States Take, including report, Claiming Common Ground"
Ford Foundation,New York; United States,University of Southern California,Los Angeles,California; United States,2012,"$500,000",Program development,To use Equity Score Card and other tools to assist higher education systems in two states to achieve ambitious college completion goals
Ford Foundation,New York; United States,Californians for Justice Education Fund,Oakland,California; United States,2006,"$300,000",Program development,To strengthen student and family voices in policy discourse for equitable community college reforms
Ford Foundation,New York; United States,University of Southern California,Los Angeles,California; United States,2007,"$200,000",Program development; Research,To develop and field test basic skills instruction programs at community colleges serving predominantly under-represented students
Ford Foundation,New York; United States,Californians for Justice Education Fund,Oakland,California; United States,2008,"$150,000",Program development,To strengthen student and family voices in policy discourse for equitable community college reforms
"Frank McHugh-O'Donovan Foundation, Inc.",Delaware; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2010,"$250,000",,
Freeman Foundation,New York; United States,San Jose Consortium for Economic Enhancement,San Jose,California; United States,2003,"$100,000",Continuing support; Program development,For Asian Immigrant and Refugee Economic and Education Opportunity Program
Freeman Foundation,New York; United States,Cambodian Family,Santa Ana,California; United States,2003,"$100,000",Continuing support; Program development,For Asian Immigrant and Refugee Economic and Education Opportunity Program
Freeman Foundation,New York; United States,University of California,Los Angeles,California; United States,2003,"$90,000",Continuing support; Program development,For participation in National Consortium for Teaching About Asia
Freeman Foundation,New York; United States,Stanford University,Stanford,California; United States,2003,"$87,756",Continuing support; Program development,For participation in National Consortium for Teaching about Asia
Freeman Foundation,New York; United States,Loyola Marymount University,Los Angeles,California; United States,2003,"$60,000",Continuing support; Program development,For continued support of participation in National Consortium for Teaching About Asia
Freeman Foundation,New York; United States,Lao Family Community of Stockton,Stockton,California; United States,2003,"$50,000",Continuing support; Program development,For Asian Immigrant and Refugee Economic and Education Opportunity Program
Gleason Family Foundation,California; United States,California Teachers Empowerment Network,Woodland Hills,California; United States,2011,"$35,000",,
Hellman Family Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2009,"$25,000",Continuing support; General/operating support,For general operating support
Jaquelin Hume Foundation,California; United States,California Teachers Empowerment Network,Woodland Hills,California; United States,2011,"$40,000",Continuing support; General/operating support,For unrestricted support
Jaquelin Hume Foundation,California; United States,California Teachers Empowerment Network,Woodland Hills,California; United States,2010,"$35,000",Continuing support; General/operating support,For unrestricted support
Jaquelin Hume Foundation,California; United States,California Teachers Empowerment Network,Woodland Hills,California; United States,2009,"$25,000",General/operating support,For unrestricted support
John S. and James L. Knight Foundation,Florida; United States,Santa Clara County Partnership for School Readiness,San Jose,California; United States,2004,"$150,000",Research,To develop baseline measure of school readiness and to assess cohorts of kindergarten students
John S. and James L. Knight Foundation,Florida; United States,University of California,Berkeley,California; United States,2003,"$50,000",Program development,To coordinate network of top journalism schools to produce innovative broadcast news. This grant promotes journalistic uses of electronic and new media
John Templeton Foundation,Pennsylvania; United States,Institute for Jewish and Community Research,San Francisco,California; United States,2005,"$40,000",Program development; Research,For Reform in Higher Education - Teaching and Preserving American Values
Joseph Drown Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2009,"$100,000",Program development,For Professional Development Program
Joseph Drown Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2008,"$50,000",Continuing support; General/operating support,For operating support
Joseph Drown Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2008,"$50,000",Continuing support; General/operating support,For operating support
Joseph Drown Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$50,000",Continuing support; General/operating support,For operating support
Joseph Drown Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2005,"$50,000",General/operating support,For operating support
Joseph Drown Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2006,"$35,000",Continuing support; General/operating support,For operating support
Joseph Drown Foundation,California; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2005,"$35,000",General/operating support,For operating support
Kayne Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2010,"$40,000",General/operating support,For general support
Lauren B. Leichtman and Arthur E. Levine Family Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2007,"$32,582",,
"Longview Foundation for Education in World Affairs and International Understanding, Inc.",Virginia; United States,California State University,Long Beach,California; United States,2010,"$25,462",Program development,"For preparing Globally Competent Educators: Revisioning Teacher Education in a Global Age. This project redesigns required courses for ITEP students that emphasize international understanding and global awareness, provides professional development for faculty teaching the ITEP students regarding learning projects that enhance global understanding, and encourage the use of global resources"
Lumina Foundation,Indiana; United States,City College of San Francisco,San Francisco,California; United States,2003,"$2,550,400",Electronic media/online services,"To produce three-tiered articulation and transfer system that transforms current policies and practices in higher education, fosters seamless system of program and course transfer, and provides electronic access and support for students and professionals through Web-based system called CollegeStepz"
Lumina Foundation,Indiana; United States,National Center for Public Policy and Higher Education,San Jose,California; United States,2008,"$1,500,000",Program development,"For national policy expertise that will enable federal government, states and institutions to improve rates of college participation and attainment"
Lumina Foundation,Indiana; United States,Institute for Evidence-Based Change,Encinitas,California; United States,2010,"$875,000",Management development/capacity building; Technical assistance,"To assist in the facilitation, management and expansion of Tuning USA"
Lumina Foundation,Indiana; United States,National Center for Public Policy and Higher Education,San Jose,California; United States,2007,"$400,000",Management development/capacity building,To develop plan to continue National Center for Public Policy and Higher Education for four more years
Lumina Foundation,Indiana; United States,Southern California College Access Network,Los Angeles,California; United States,2010,"$224,700",Continuing support; Program development,To execute Phase II of the KnowHow2GO campaign in Southern California
Lumina Foundation,Indiana; United States,Southern California College Access Network,Los Angeles,California; United States,2010,"$224,700",Continuing support; Program development,To execute Phase II of the KnowHow2GO campaign in Southern California
Lumina Foundation,Indiana; United States,Southern California College Access Network,Los Angeles,California; United States,2009,"$95,300",Program development,To plan for the next phase of KnowHow2GO in the southern California region
Lumina Foundation,Indiana; United States,National Center for Public Policy and Higher Education,San Jose,California; United States,2003,"$71,000",Program development,To better understand background characteristics of students who borrow but do not complete their educational programs
Marin Community Foundation,California; United States,Marin Teaching Network,Larkspur,California; United States,2003,"$625,000",Program development,For program support
Marin Community Foundation,California; United States,Marin Teaching Network,Larkspur,California; United States,2005,"$575,000",Program development,To implement workplan to address current challenges and increase student achievement. Grant made through Buck Trust
Marin Community Foundation,California; United States,Marin Teaching Network,Larkspur,California; United States,2009,"$220,000",,
Marin Community Foundation,California; United States,Marin Teaching Network,Larkspur,California; United States,2008,"$220,000",Continuing support; Faculty/staff development,For professional development focused on linking assessment with instruction for Marin teachers
