Funder Name,Funder State,Grantee Name,Grantee City,Grantee State,Year(s),Grant Amount,Types(s) of Support,Description
The William and Flora Hewlett Foundation,California; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2006,"$2,584,000",Continuing support; Program development,For project focused on improving student learning in pre-collegiate math and English courses in California community colleges
The William and Flora Hewlett Foundation,California; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2004,"$2,400,000",Curriculum development,For project focused on improving effectiveness of developmental education in mathematics and English in California community colleges
The William and Flora Hewlett Foundation,California; United States,Foundation for California Community Colleges,Sacramento,California; United States,2010,"$1,944,000",Program development,For the LearningWorks project
The William and Flora Hewlett Foundation,California; United States,Foothill-De Anza Community College District,Los Altos Hills,California; United States,2009,"$1,500,000",Continuing support; Program development,For Community College Open Textbook Collaborative
The William and Flora Hewlett Foundation,California; United States,PICO California,Sacramento,California; United States,2008,"$1,370,000",Continuing support; General/operating support; Program development,"For general support and promoting finance reform, data, and teacher quality"
The William and Flora Hewlett Foundation,California; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2006,"$1,300,000",Continuing support; Curriculum development; Faculty/staff development,"For third round of subgrants to eleven colleges participating in Strengthening Pre-Collegiate Education in Community Colleges, program to improve teaching and learning in developmental education courses at California community colleges"
The William and Flora Hewlett Foundation,California; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2005,"$1,300,000",Continuing support; Curriculum development; Faculty/staff development,"For Strengthening Pre-collegiate Education in Community Colleges, program to improve teaching and learning in developmental mathematics and English classes"
The William and Flora Hewlett Foundation,California; United States,PICO California,Sacramento,California; United States,2007,"$1,200,000",Program development,For coalition of statewide grassroots organizing groups to advance education finance reform in California
The William and Flora Hewlett Foundation,California; United States,Carnegie Foundation for the Advancement of Teaching,Stanford,California; United States,2004,"$1,200,000",Program development; Research,For sub-grants to nine to twelve California community colleges that will conduct demonstration programs focused on improving instruction in pre-collegiate mathematics and English courses
The William and Flora Hewlett Foundation,California; United States,Education Trust-West,Oakland,California; United States,2008,"$1,000,000",Program development,For advocacy for education data system
The William and Flora Hewlett Foundation,California; United States,RP Group,Berkeley,California; United States,2009,"$950,000",Program development; Research,"For BRIC project, building systems of inquiry for increasing community college student success"
The William and Flora Hewlett Foundation,California; United States,Campaign for College Opportunity,Los Angeles,California; United States,2009,"$925,000",Program development,For project to promote reform and student success in California community colleges
The William and Flora Hewlett Foundation,California; United States,Cabrillo College Foundation,Aptos,California; United States,2009,"$900,000",Electronic media/online services; Program development,For project to refine and expand Digital Bridge Academy
The William and Flora Hewlett Foundation,California; United States,Institute for Evidence-Based Change,Encinitas,California; United States,2010,"$700,000",General/operating support,For general operating support
The William and Flora Hewlett Foundation,California; United States,Californians for Justice Education Fund,Oakland,California; United States,2004,"$685,000",Program development,"For Campaign for Quality Education, which connects community organizing groups with statewide reform efforts to improve educational opportunities of all students in California schools"
The William and Flora Hewlett Foundation,California; United States,Institute for Evidence-Based Change,Encinitas,California; United States,2011,"$675,000",Program development,For developing disciplinary student learning outcomes in eight state higher education systems
The William and Flora Hewlett Foundation,California; United States,RP Group,Berkeley,California; United States,2007,"$650,000",Conferences/seminars; Continuing support; Program development,For Strengthening Student Success Conference and related activities to promote success of under-prepared students at community colleges
The William and Flora Hewlett Foundation,California; United States,California School Boards Association,West Sacramento,California; United States,2005,"$525,000",Program development,For community partners to plan and build statewide coalition to promote needed reforms in K-12 public schools
The William and Flora Hewlett Foundation,California; United States,University of Southern California,Los Angeles,California; United States,2009,"$500,000",Program development; Research,For project to monitor community college student progress to degrees and careers
The William and Flora Hewlett Foundation,California; United States,Mayors Community Partnership for School Excellence,Los Angeles,California; United States,2006,"$500,000",Program development,For design and planning of Mayor's District in Los Angeles education system
The William and Flora Hewlett Foundation,California; United States,University of California,Los Angeles,California; United States,2006,"$415,000",Program development,For communications activities to enrich education policy debate with perspectives of disadvantaged communities and to advance set of policy reform goals
The William and Flora Hewlett Foundation,California; United States,WestEd,San Francisco,California; United States,2009,"$400,000",Program development,For increasing community college student success through literacy instruction
The William and Flora Hewlett Foundation,California; United States,PICO California,Sacramento,California; United States,2008,"$400,000",Continuing support; Program development; Research,"For collaboration promoting finance reform, data, and teacher quality"
The William and Flora Hewlett Foundation,California; United States,Chamber of Commerce Foundation of Los Angeles Area,Los Angeles,California; United States,2009,"$360,000",Program development,For statewide network of businesses advocating for community colleges
The William and Flora Hewlett Foundation,California; United States,University of California,Berkeley,California; United States,2008,"$350,000",Program development,For Policy Analysis for California Education (PACE) to support California's participation in American Diploma Project
The William and Flora Hewlett Foundation,California; United States,University of California,Berkeley,California; United States,2009,"$330,000",Research,For research into institutional and instructional changes in basic skills education
The William and Flora Hewlett Foundation,California; United States,PICO California,Sacramento,California; United States,2010,"$300,000",Program development,For community outreach in California on education issues
The William and Flora Hewlett Foundation,California; United States,Foundation for California Community Colleges,Sacramento,California; United States,2009,"$300,000",Program development,For Community College Pathways for Foster Youth project
The William and Flora Hewlett Foundation,California; United States,Alliance for a Better Community,Los Angeles,California; United States,2009,"$300,000",Program development,For advocacy campaign focusing on improving student success at Los Angeles community colleges
The William and Flora Hewlett Foundation,California; United States,California Tomorrow,Oakland,California; United States,2008,"$300,000",General/operating support; Program development,For general support and Community College Access and Equity Initiative
The William and Flora Hewlett Foundation,California; United States,California Business for Education Excellence,Sacramento,California; United States,2006,"$300,000",Program development,To mobilize local businesses to lead effort to raise student achievement and close achievement gaps for California public schools
The William and Flora Hewlett Foundation,California; United States,Institute for the Study of Knowledge Management in Education,Half Moon Bay,California; United States,2008,"$286,000",Program development,To evaluate faculty inquiry groups at community colleges
The William and Flora Hewlett Foundation,California; United States,California Tomorrow,Oakland,California; United States,2010,"$250,000",Program development,For the Community College Access and Equity Initiative
The William and Flora Hewlett Foundation,California; United States,California State University,Sacramento,California; United States,2010,"$250,000",General/operating support; Program development,For the Institute for Higher Education Leadership and Policy
The William and Flora Hewlett Foundation,California; United States,Butte Community College Foundation,Oroville,California; United States,2009,"$250,000",Program development,To improve California's community college student placement system
The William and Flora Hewlett Foundation,California; United States,Community College League of California,Sacramento,California; United States,2009,"$250,000",Program development,For California EDGE Campaign promoting education and job training policy
The William and Flora Hewlett Foundation,California; United States,California Department of Education,Sacramento,California; United States,2003,"$250,000",General/operating support,For general support of California Department of Education's launch of Quality Education Commission
The William and Flora Hewlett Foundation,California; United States,California Business for Education Excellence,Sacramento,California; United States,2009,"$200,000",Seed money,For establishing California State University Center to Close the Achievement Gap
The William and Flora Hewlett Foundation,California; United States,Foundation for California Community Colleges,Sacramento,California; United States,2009,"$200,000",Program development,For Early Assessment Program in California Community Colleges
The William and Flora Hewlett Foundation,California; United States,California Office of the Secretary for Education,Sacramento,California; United States,2005,"$200,000",Program development,For Governors Committee on Education Excellence
The William and Flora Hewlett Foundation,California; United States,Arts of Peace,Arcata,California; United States,2005,"$200,000",Program development,For efforts to gain radio access for education experts and non-traditional voices for education reform in California
The William and Flora Hewlett Foundation,California; United States,California State PTA,Sacramento,California; United States,2008,"$175,000",Program development,For planning process toward promoting statewide arts education
The William and Flora Hewlett Foundation,California; United States,National Center for Public Policy and Higher Education,San Jose,California; United States,2006,"$113,000",Research,For study of issues affecting access and affordability at California's community colleges
The William and Flora Hewlett Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$100,000",General/operating support,For general operating support
The William and Flora Hewlett Foundation,California; United States,New California Network,Sacramento,California; United States,2010,"$100,000",Program development,For higher education institute for legislative staff
The William and Flora Hewlett Foundation,California; United States,Grossmont Cuyamaca Community College District,El Cajon,California; United States,2008,"$100,000",Program development,For plan to improve English and math alignment across high schools and community colleges
The William and Flora Hewlett Foundation,California; United States,RP Group,Berkeley,California; United States,2008,"$100,000",Program development; Research,For strengthening colleges' ability to track outcomes for underprepared students
The William and Flora Hewlett Foundation,California; United States,Stanford University,Stanford,California; United States,2006,"$100,000",Program development; Research,For additional research and planning for project to study key dimensions of efficiency in California community colleges
The William and Flora Hewlett Foundation,California; United States,Grossmont Cuyamaca Community College District,El Cajon,California; United States,2005,"$100,000",Program development,"For strategic development phase to review growth of California Partnership for Achieving Student Success, refine its strategic goals and relationships to other institutions and projects, and build on knowledge from evaluation under way"
The William and Flora Hewlett Foundation,California; United States,American Civil Liberties Union Foundation of Southern California,Los Angeles,California; United States,2006,"$80,000",Program development,For media-targeted report on effects to date of Williams reform legislation in California public schools
The William and Flora Hewlett Foundation,California; United States,Strategic Concepts in Organizing and Policy Education,Los Angeles,California; United States,2005,"$75,000",Program development,For leading strategic planning process to strengthen Campaign for Quality Education
The William and Flora Hewlett Foundation,California; United States,PICO California,Sacramento,California; United States,2009,"$60,000",Program evaluation,"For evaluation project, including school reform component"
The William and Flora Hewlett Foundation,California; United States,Cabrillo College Foundation,Aptos,California; United States,2009,"$50,000",Income development,For improving strategic communications
The William and Flora Hewlett Foundation,California; United States,Foundation for California Community Colleges,Sacramento,California; United States,2008,"$50,000",Program development,For developing business plan for Umoja
The William and Flora Hewlett Foundation,California; United States,Foundation for California Community Colleges,Sacramento,California; United States,2008,"$50,000",Program development,For strategic planning and leadership coaching
The William and Flora Hewlett Foundation,California; United States,Education Trust-West,Oakland,California; United States,2007,"$50,000",Management development/capacity building,For recruiting Operations Director
The William and Flora Hewlett Foundation,California; United States,Stanford University,Stanford,California; United States,2006,"$50,000",Program development; Research,For project to identify existing research and practices in applying efficiency concepts to improve California community colleges
The William and Flora Hewlett Foundation,California; United States,Education Trust-West,Oakland,California; United States,2009,"$45,500",Computer technology; Electronic media/online services; Equipment,For videoconferencing equipment
The William and Flora Hewlett Foundation,California; United States,California Tomorrow,Oakland,California; United States,2010,"$41,900",Income development; Program development,For strategic communications planning
The William and Flora Hewlett Foundation,California; United States,Grossmont-Cuyamaca Community College Auxiliary Organization,El Cajon,California; United States,2009,"$35,000",Income development,To develop communications strategy
The William and Flora Hewlett Foundation,California; United States,National Center for Public Policy and Higher Education,San Jose,California; United States,2006,"$35,000",Research,For policy-oriented analysis of possibilities and limitations of informed self-placement in California community colleges
The William and Flora Hewlett Foundation,California; United States,Fresno County Office of Education,Fresno,California; United States,2006,"$30,000",Research,For additional research and analytical capacity for Governor's Committee on Education Excellence
The William and Flora Hewlett Foundation,California; United States,Stanford University,Stanford,California; United States,2006,"$28,000",Program development; Research,"For review of current research to identify whether there are special needs of English learners in California in relation to instructional materials, instructional practices, assessment, and accountability structures"
The William and Flora Hewlett Foundation,California; United States,Commonwealth Club of California,San Francisco,California; United States,2008,"$27,000",Program development,For strategic planning for California Media Collaborative
The William and Flora Hewlett Foundation,California; United States,California Business for Education Excellence,Sacramento,California; United States,2010,"$25,000",Income development; Program development,For fundraising planning
The William and Flora Hewlett Foundation,California; United States,Education Trust-West,Oakland,California; United States,2010,"$25,000",Income development; Management development/capacity building,For fundraising planning
The William and Flora Hewlett Foundation,California; United States,Community College League of California,Sacramento,California; United States,2009,"$25,000",Program development; Research,For California Policymaker Education Fact-Finding Mission
The William and Flora Hewlett Foundation,California; United States,George Lucas Educational Foundation,San Rafael,California; United States,2009,"$25,000",Electronic media/online services; Film/video/radio,For webinars and Web video on alternative assessments for K-12 schools
The William and Flora Hewlett Foundation,California; United States,RP Group,Berkeley,California; United States,2006,"$25,000",Conferences/seminars; Faculty/staff development,For conference for community college faculty to focus on improving assessment practices in order to improve student success
The Zellerbach Family Foundation,California; United States,San Francisco Coalition of Essential Small Schools,San Francisco,California; United States,2010,"$88,000",Faculty/staff development; Program development,For a professional development project about effective school-based family engagement strategies for district-level professional development coaches and faculty members of the ten lowest-performing schools in the San Francisco Unified School District
The Zellerbach Family Foundation,California; United States,San Francisco Coalition of Essential Small Schools,San Francisco,California; United States,2010,"$62,000",,To promote student achievement by building stronger and more effective partnerships between school personnel and families who are not actively engaged in supporting their children's academic pursuits
The Zellerbach Family Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2007,"$55,000",Program development,"To recruit families to stay in or come back to public schools, involve parents in school-related decision making processes, and improve public schools through district-level involvement; to increase language access for limited English proficient parents by providing trained interpreters for meetings and community events and written translations of all educational outreach materials"
The Zellerbach Family Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2004,"$40,000",Program development,"For efforts to recruit families to stay in or come back to public schools, involve parents in school related decision making processes, and improve public schools through district-level involvement"
The Zellerbach Family Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2010,"$35,000",Program development,"For efforts to recruit families to stay in or come back to public schools, involve parents in school-related decision-making processes, and improve public schools through district-level involvement"
The Zellerbach Family Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2006,"$35,000",Program development,"To support efforts to recruit families to stay in or come back to public schools, involve parents in school-related decision making processes and improve public schools through district-level involvement"
Tides Foundation,California; United States,Escuelas Si Pintas No Youth Organizing for Equal Justice and Education,Stockton,California; United States,2006,"$30,000",,For grant made through Youth in Focus
Vanguard Charitable Endowment Program,Massachusetts; United States,Independent School Alliance for Minority Affairs,Los Angeles,California; United States,2010,"$25,000",General/operating support,For general operating expenses
Verizon Foundation,New Jersey; United States,South Bay Advanced Educational Technology Consortium,Lawndale,California; United States,2005,"$40,000",,
Verizon Foundation,New Jersey; United States,Community Strength Foundation,Menlo Park,California; United States,2003,"$38,000",General/operating support,For unrestricted support
Verizon Foundation,New Jersey; United States,Community Strength Foundation,Menlo Park,California; United States,2004,"$25,000",Continuing support; General/operating support,For unrestricted support
W. K. Kellogg Foundation,Michigan; United States,Tides Center,San Francisco,California; United States,2008,"$322,531",Program development,To support and examine organizational capacity of education reform advocacy groups in Mississippi
W. K. Kellogg Foundation,Michigan; United States,University of California,Los Angeles,California; United States,2010,"$300,000",Program development,To promote racial healing in Los Angeles and become a nationwide model to effectively transform higher education institutions through racially aware practice and pedagogy
W. K. Kellogg Foundation,Michigan; United States,Tides Center,San Francisco,California; United States,2004,"$196,000",Program development,"For advocacy, practitioner, and policymaker networks fostering sustainable growth and educational equity at several sites"
W. K. Kellogg Foundation,Michigan; United States,University of Southern California,Los Angeles,California; United States,2005,"$150,000",Program development,To develop institutional structure of Community Education Academy to ensure continued success of educational outreach programs to local communities
W. K. Kellogg Foundation,Michigan; United States,National Association of Latino Elected and Appointed Officials Educational Fund,Los Angeles,California; United States,2004,"$100,000",Conferences/seminars; Program evaluation,For convening and evaluation of educational leadership initiative
W. K. Kellogg Foundation,Michigan; United States,Tides Center,San Francisco,California; United States,2009,"$75,000",Continuing support; Program development,To support and examine organizational capacity of education reform advocacy groups in Mississippi
W. M. Keck Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$1,000,000",Building/renovation,"To establish charter middle school and high school in Pico-Union by purchasing and renovating new facility as part of network of small, high-performance schools"
W. M. Keck Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2009,"$300,000",Building/renovation,To create a charter school campus for middle and high school students in South Los Angeles
W. M. Keck Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2012,"$250,000",Program development,To improve student academic performance by supporting a blended learning high school program in Lincoln Heights
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2011,"$100,000",Continuing support,
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2010,"$100,000",Continuing support,
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2009,"$100,000",Continuing support,
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2008,"$100,000",,
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2007,"$100,000",Management development/capacity building; Program development,To engage diverse parents in activities to improve quality of education in San Francisco and strengthen organizational infrastructure
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2006,"$100,000",Management development/capacity building,To build organizational capacity
Walter and Elise Haas Fund,California; United States,San Francisco Coalition of Essential Small Schools,San Francisco,California; United States,2011,"$65,000",,
Walter and Elise Haas Fund,California; United States,Education Trust-West,Oakland,California; United States,2009,"$40,000",,
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2005,"$40,000",Continuing support; Program development,For Building Equity Together Parent and Community Support Program to increase parent engagement with San Francisco schools
Walter and Elise Haas Fund,California; United States,Parents for Public Schools,San Francisco,California; United States,2004,"$40,000",Program development,For Building Equity Together project to increase parent engagement
Walter S. Johnson Foundation,California; United States,Education Trust-West,Oakland,California; United States,2004,"$30,000",,
"Walton Family Foundation, Inc.",Arkansas; United States,Los Angeles Parents Union,Los Angeles,California; United States,2011,"$1,200,550",Continuing support,
"Walton Family Foundation, Inc.",Arkansas; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$500,000",Continuing support,
"Walton Family Foundation, Inc.",Arkansas; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2008,"$230,000",Program development,For College Ready Middle Academy No. 3
"Walton Family Foundation, Inc.",Arkansas; United States,Los Angeles Parents Union,Los Angeles,California; United States,2009,"$100,000",,
"Walton Family Foundation, Inc.",Arkansas; United States,American Center for School Choice,Berkeley,California; United States,2010,"$60,000",,
"Walton Family Foundation, Inc.",Arkansas; United States,American Center for School Choice,Berkeley,California; United States,2011,"$40,000",Continuing support,
Wasserman Foundation,California; United States,Los Angeles Parents Union,Los Angeles,California; United States,2010,"$500,000",,
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2007,"$2,500,000",Building/renovation; Equipment,"For capital support of construction, renovation and school purchases"
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2006,"$1,000,000",Building/renovation; Program development,To consolidate school sites and administrative offices into one permanent location
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$500,000",Building/renovation,For capital support for new school building
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2011,"$500,000",Building/renovation,For capital support for new school building
Weingart Foundation,California; United States,Alliance for College-Ready Public Schools,Los Angeles,California; United States,2005,"$250,000",Seed money,For start-up support for new charter school
Wells Fargo Foundation,California; United States,Parents for Public Schools,San Francisco,California; United States,2004,"$25,000",,
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$250,000",Awards/prizes/competitions,For Anne and Kirk Douglas Playground Awards
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2005,"$250,000",Continuing support,
Wilbur May Foundation,Nevada; United States,Los Angeles Educational Alliance for Restructuring Now,Los Angeles,California; United States,2004,"$250,000",,
William T. Grant Foundation,New York; United States,University of California at San Diego,La Jolla,California; United States,2011,"$559,916",Research,For Understanding Social Network Structure in Schools Under Corrective Action: A Longitudinal Comparative Analysis of Research Use and Diffusion in Urban Districts
